大运	大学生运动会
社政	社会政治
仓租	仓库租金
校企	学校企业
政指	政治指导员
街总	街坊总会
科艺楼	科技艺术楼
艺大	艺术大学
中央社	中央通讯社股份有限公司
房务部	客房服务部
盲校	盲人学校
地价	土地价格
话研会	话剧研究会
铁联	国际铁路联盟
托幼	托儿所幼儿园
行风	行业作风
妇干班	妇女干部培训班
修院	修道院
宪制科	宪制事务科
仔裤	牛仔裤
军邮	军队系统邮政
彩电	彩色电视
土管员	土地管理员
农工部	农村工作部
纺品	纺织品
时事社	时事通讯社
语言所	语言研究所
摩协	摩托车协会
机管局	机场管理局
影星	电影明星
校工	学校工人
话线	电话线
银贸	银行外贸
汽技改	汽车技术改造
电总	电信总局
国家计委	国家计划委员会
中委	中央委员
桥联	桥牌联合会
史训	历史教训
参茸	人参鹿茸
文摘	文章摘要
体联	体育联合会
实态	实际状态
妇代会	妇女代表大会
书报刊	图书报纸期刊
摄协	摄影家协会
水阻	水流阻力
女团	女子团体
乡企局	乡镇企业局
林牧农	林业牧业农业
轻校	轻工业学校
青干班	青年干部培训班
前委会	前敌委员会
机场	飞机场
生化所	生物化学研究所
机检	计算机检索
中队委	少先队中队委员会委员
省检	省检察院
智能所	智能研究所
文委	文艺委员会
人权委	人权委员会
省总	省总工会
影艺	电影艺术
拖配	拖拉机配件
商职校	商业职业学校
曲作家	词曲作家
工展会	工业展览会
开播	开始播放
商游	商业旅游业
机绣	机器刺绣
居委会	居民委员会
总编	总编辑
核研所	核能研究所
国标	国家标准
科技户	科技示范户
农能办	农业能源办公室
流水线	流水生产线
税制	税收制度
皮博会	皮革博览会
控区	控制区
中电	中央电影企业股份有限公司
警匪	警察匪徒
理事会	理事委员会
海校	海军学校
太阳电池	太阳能电池
农科	农业科学
水电大	水利电力大学
官校	军官学校
林牧副渔	林业牧业副业渔业
农研会	农业经济研究会
国际网联	国际网球联合会
粮油	粮食油料
话簿	电话簿
荣校	荣誉军人学校
拳委	拳击委员会
残部	残余部队
舞师	舞蹈教师
煤管局	煤炭管理局
农牧局	农业畜牧业局
路服	铁路制服
成果办	科学研究成果办公室
通胀率	通货膨胀率
饭贴	饭钱补贴
家肥	农家肥料
交建公司	交通建筑工程公司
路警	铁路警察
城管	城市管理
名权位	名誉权利地位
声镜	声学显微镜
固体导弹	固体推进剂导弹
质标	质量标准
足联	足球联合会
药商	药品商
性征	性别特征
节市	节日市场
国际帆联	国际帆船联盟
农救会	农民救国会
社党	社会民主党
工代大会	工人代表大会
党群	政党人民群众
哲社	哲学社会科学
金价	黄金价格
房展会	住房展览会
银联	银行职员联合会
景观图	景观地图
校运会	学校运动会
金融展	金融展览会
军列	军人列车
财干院	财政干部学院
试婴	试管婴儿
寄研所	寄生虫病研究所
律管司	律师管理司
工装	工艺装备
伙补	伙食补贴
世青田径赛	世界青年田径锦标赛
军政民	军队政府人民
广电报	广播电视报
劳务办	劳动力管理服务办公室
农电站	农村电站
国税所	国家税务所
精油	香精油
女校	女子学校
校委会	校务委员会
财年	财政年度
国际冰联	国际冰球联合会
食疗	饮食疗法
航摄机	航空摄像机
体协	体育协会
药物所	药物研究所
体工队	体育工作队
商联会	全国商业联合会
经联社	经济联合社
农技	农业技术
科工办	科技工业办公室
持平	保持平衡
商台	商业电台
热工	热能工程
森工	森林工业
外文系	外国语言文学系
乡企办	乡镇企业办公室
老年委	老年人委员会
电玩	电动玩具
青干	青年干部
国际划联	国际划艇联合会
首图	首都图书馆
支委会	党支部委员会
话机	电话机
残童	残疾儿童
金市	黄金市场
党政军	党组织政府部门军队
世界工联	世界工会联合会
师院	师范学院
契税	契约税
教德	教师职业道德
人卫站	人民卫生站
航母	航空母舰
税银	税务银行
土建	土木建筑
建协	建筑协会
人道立场	人道主义立场
编导演	编剧导演演员
色温	颜色温度
马哲史	马克思主义哲学史
农话	农村电话
保单	保险单
牛罐	牛肉罐头
森警	森林警察
国列	国际旅客列车
外军	外国军队
编委	编辑委员会委员
煤化工	煤炭化工
市政局	市政工程管理局
色斑	色素斑点
高新区	高新技术产业开发区
家托	家庭托儿所
市编委	市编辑委员会
城管局	城市管理局
现代舞	现代派舞蹈
国基会	国际货币基金会
党政军民	党组织政府部门军队民众团体
义消	义务消防队
片库	影片仓库
美校	美术学校
空港	航空港
衣裤	衣服裤子
股值	股票价值
共管	共同管理
外秘	外交秘书
视帝	电视剧皇帝
文工队	文化艺术工作队
垒协	垒球协会
船院	船舶学院
科任	科考任务
唯物史观	唯物主义历史观
外院	外国语学院
煤科院	煤炭科学院
软件所	软件研究所
总政	红军总政治部
个税	个人所得税
牡丹卡	牡丹信用卡
资讯	资源讯息
合作所	合作制律师事务所
反属	反革命分子家属
地磁	地球磁性
医技	医疗技术
电控	电气控制
邮市	邮票市场
林研所	林业研究所
农林科学院	农业林业科学院
院办	院长办公室
棒协	棒球协会
舞协	舞蹈家协会
粮经	粮食经济
高校	高等院校
耗时	耗费时间
扇超	扇形超声波
侨团	华侨团体
医助	医生助理
曲论	词曲理论
警备	警务装备
农林水利	农业林业水利
三青团	三民主义青年团
国补	国家补贴
高能所	高能物理研究所
国土局	国家土地管理局
社青	社会青年
艺研院	艺术研究院
住宅办	住宅办公室
税票	税收票证
军婚	军人婚姻
外专局	外国专家局
专修班	专业进修班
女监	女子监狱
超市	超级市场
城隧	城市隧道
体彩	体育彩票
国际赛联	国际赛艇联合会
团干	共青团干部
机织	机器纺织
质监员	质量监督员
工纠	工人纠察
青妇	青年妇女
被装	棉被服装
督理	监督管理
三轮	三轮车
科社	科学社会主义
航委会	航空委员会
电管所	电子管理所
低噪	低噪声
国图联	国际图书联合会
乒队	乒乓球队
音校	音乐学校
花市	花卉市场
和约	和平条约
卫片	卫星照片
首信	首都信息技术有限公司
企银	企业银行
商贷	商业贷款
炮院	炮兵学院
库券	国库券
医委会	医学委员会
高新	高新技术
地产	土地资产
柠茶	柠檬茶
文理工	文科理科工科
规土局	规划土地局
交运局	交通运输管理局
男服	男子服装
海榴	海石榴
参会	参加会议
新协	新闻工作者协会
家纺	家庭纺织
青影	青年电影制片厂
市队	市代表队
彩管	彩色显像管
外籍	外国国籍
农合工	农民合同制工人
科干局	科技干部局
中央音院	中央音乐学院
校团委	学校共青团委员会
领馆	领事馆
总工	总工程师
品学	品行学业
汇商	外汇商人
局地	局部地区
华裔	华人后裔
野政	野战军政治部
监管会	监督管理委员会
残运会	残疾人运动会
运势	命运形势
村委	村民委员会
财保	财政保险
物价局	物价管理局
影帝	电影皇帝
海科	海洋科学
空管局	空中交通管理局
人医	人民医院
建陶	建筑陶瓷
影后	电影皇后
音协	音乐家协会
男羽队	男子羽毛球队
农资办	农业生产资料办公室
省运会	省体育运动会
航管站	航务管理站
房协	房屋协会
残协	残疾人体育协会
园林办	园林办公室
旱作	旱地作物
岸炮	海岸炮
思政	思想政治
农经委	农业经济委员会
政务	行政事务
企业办	企业办公室
班委会	班级委员会
文史哲经	文学史学哲学经济学
地表	地球表面
师大	师范大学
男排	男子排球
股指	股价指数
期市	期货市场
药具	医药器具
职数	职位数量
机织厂	机器纺织厂
毒贩	毒品贩子
检方	检察院方面
外空	外层空间
城雕	城市雕塑
企协	企业家协会
文研所	文学研究所
空冷设备	空气冷却设备
社群	社会群体
个协	个体协会
红属	红军家属
科艺宫	科技艺术宫
现况	现实情况
体委	国家体育运动委员会
影视录	电影电视录像
证交所	证券交易所
卫协	卫生工作者协会
妇女会	妇女协会
移民办	移民办公室
党支	党支部
虫草	冬虫夏草
农代会	农民代表大会
股评	股市评论
艺文	艺术文化
行止	行为举止
犯属	犯人家属
军事医科院	军事医学科学院
坑道	坑道工事
电院	电子工程学院
助审员	助理审判员
民力	民众力量
商服	商业服务业
企办	企业办公室
根艺	根雕艺术
政银企	政府银行企业
农协会	农民协会
航院	航空学院
钢混结构	钢筋混凝土结构
垒联	垒球联合会
生物所	生物研究所
家财险	家庭财产保险
煤化所	煤炭化学研究所
警署	警察署
乒羽	乒乓球羽毛球
商住房	商业住房
油雕院	油画雕塑院
标煤	标准煤
文委会	文艺委员会
工兵农	工人士兵农民
市交委	市交通委员会
幼保	幼童保险
技校	技工学校
中戏	中央戏剧学院
中央财院	中央财政金融学院
国地税	国家地方税收
电教办	电化教学办公室
原子能所	原子能研究所
炮团	炮兵团
石油部	石油工业部
国统区	国民党统治区
单宿	单身宿舍
能源办	能源办公室
牌委会	牌照委员会
大篮联	大学生篮球联合会
全漫协	全国漫画家协会
大体协	大学生体育协会
通膨率	通货膨胀率
业权	物业所有权
侨知联谊会	侨界知识分子联谊会
体工站	体育工作站
降耗	降低消耗
技交所	技术交易所
调温	调节温度
法制委	法制委员会
夜大	夜大学
擂赛	擂台赛
外资	外国资本
演星	演员明星
财经委	财政经济委员会
宗教局	宗教事务管理局
院务部	学院事务部
单产	单位面积产量
机油	机械油
年资	年龄资历
特工	特务工作人员
世博会	世界博览会
厂办	厂长办公室
关检	海关检查
农经所	农业经济研究所
舞训班	舞蹈训练班
县人委	县人大委员会
民宗委	民族宗教委员会
长宽	长度宽度
科管	科学管理
外烟	外国香烟
物总	物资总公司
消委	消费者委员会
声光视效	声音灯光视觉效果
水管费	水利管理费
商经	商业经济
外管局	外事管理局
义工	义务工作者
潜质	潜力素质
兵运线	兵站运输线
姿彩	姿态色彩
古研所	古迹研究所
有研	有色金属研究所
助编	助理编辑
个体户	个体工商户
文办	文化办公室
电教	电化教学
国际马联	国际马术联合会
社联	社会科学界联合会
煤电油运	煤炭工业电力工业石油工业运输业
学工部	学生工作部
武联	武术联合会
世妇联	世界妇女联合会
家电	家用电器
节本降耗	节约成本降低能耗
艺代会	艺术家代表会
省图	省图书馆
玻纤	玻璃纤维
农牧渔	农业牧业渔业
美编	美术编辑
果研所	水果研究所
家纠	家庭纠纷
车管科	车辆管理科
男网	男子网球
计控处	计量控制处
医协	医学协会
模具所	模具技术研究所
家计所	家庭计划研究所
车况	车辆状况
干管处	干部管理处
农经站	农业经济站
实效	实际效果
公边	公安边防
规费	规划费用
儿影厂	儿童电影制片厂
国际隧协	国际隧道协会
大众传媒	大众传播媒介
妇代	妇女代表
师德	教师道德
交市	交易市场
社情	社会情况
社会购买力	社会商品购买力
律协	律师协会
工艺美校	工艺美术学校
和委会	和平委员会
林机厂	林业机械厂
经院	经济学院
工疗	工人疗养院
行员	银行职员
动检站	动物检疫站
责权利	责任权利利益
政宣科	思想政治宣传科
民运	少数民族运动会
国大	国民代表大会
集体工	集体所有制工人
学联	学生联合会
资源委	资源委员会
债信	债务信用
体博会	体育博览会
花博会	花卉博览会
文宣部	文化宣传部
纺工	纺织工业
军报	解放军报
信贷	信用贷款
税基	课税基础
物委	物资委员会
新影厂	中央新闻纪录电影制片厂
粮仓	粮食仓库
节能办	节约能源办公室
业委会	业主委员会
鞭花	鞭炮礼花
化轻公司	化学轻工业公司
委办	委员会办公室
盟军	同盟国军
电仪局	电子仪表工业局
海俱	海员俱乐部
人美	人民美术出版社
农林牧副渔	农业林业牧业副业渔业
干管	干线管道
街办	街道办事处
武星	武打明星
工属	职工家属
全代会	全国代表大会
成中	成人中学
控会	控制会议
语协	语言文字工作者协会
邮识	邮票常识
技委	技术委员会
心梗	心肌梗塞
行警	银行警卫
班委	班级委员会委员
干修班	干部进修班
田锦赛	田径锦标赛
街委	街道委员会
冷项	冷门项目
院党办	院党委办公室
建机厂	建筑机械厂
图联	国际图书馆协会联合会
供销社	供销合作社
视协	电视艺术家协会
速算	快速计算
财金	财政金融
中控室	中央控制室
舞团	舞蹈艺术团
围协	围棋协会
航炮	航空机关炮
难侨	难民华侨
农电工	农村电工
残困户	残疾人困难户
经理办	经理办公室
疗效	医疗效果
银膜	银光塑料薄膜
企务	企业事务
星联	星际联盟
海缆	海底电缆
粮站	粮油管理站
寿险	人寿保险
舞星	舞蹈明星
军警	军队警察
人劳局	人事劳动局
航博会	航空博览会
机修厂	机械修配厂
市政府办	市政府办公室
污水厂	污水处理厂
财大	财经大学
税干	税务干部
技交	技术交易
邮编	邮政编码
党史办	党史办公室
医工所	医药工业研究所
电解液	电解质溶液
函大	函授大学
煤质	煤炭质量
芭科	芭蕾舞科
省府	省政府
女柔	女子柔道
市人委	市人民委员会
世足赛	世界杯足球赛
影圈	电影圈
校秩部	学校秩序部
粮农	粮食农业
北约	北大西洋公约组织
农险	农业保险
电业	电力工业
空调器	空气调节器
农林水产	农业林业水产
吧台	酒吧台
特嫌案	特务嫌疑案件
临工	临时工
汽贷	汽车贷款
编校	编辑校对
国税局	国家税务局
战略办	战略办公室
理工	理工科
食市	食品市场
环卫所	环境卫生所
房源	住房来源
化废	化学废物
少体	少年体育
专署	专员公署
影视记协	电影电视记者协会
工效	工作效率
烈属	烈士家属
技研会	科学技术研究会
足锦赛	足球锦标赛
科技教界	科学技术教育界
冶工部	冶金工业部
集体办	集体事业办公室
货币战	货币战争
汽齿厂	汽车齿轮厂
生资	生产资料
译训班	翻译人员训练班
华校	华侨学校
兵工部	兵器工业部
建材局	建筑材料工业局
国际舞	国际标准舞
社文委	社会文化委员会
空乘	航空乘务
农修厂	农业机械修配厂
钢研所	钢铁研究所
农信联社	农村信用联社
聋校	聋哑学校
机电办	机械电子工业办公室
军干所	军队干部休养所
生产社	农业生产合作社
工时	工作时间
体专班	体育专修班
侨校	华侨学校
煤炭部	煤炭工业部
棉花所	棉花研究所
实控线	实际控制线
大桥局	大桥建设工程局
外长	外交部长
羽联	羽毛球联合会
政办	政府办公室
土化	土壤化学
社保基金	社会保险基金
亚运	亚运会
男乒	男子乒乓球
众院	众议院
军委会	军事委员会
动物所	动物研究所
群体处	群众体育处
体师院	体育师范学院
摩联	摩托车联合会
农机校	农业机械学校
国科大	国防科技大学
中财委	中央财政经济委员会
书画影戏	书法绘画电影戏剧
人寿险	人寿保险
绒癌	绒毛膜癌
科交会	科技成果交易会
建总	城建总公司
农林水牧	农业林业水利牧业
