23中	第23中学
遗传所	遗传研究所
金交所	金融交易所
金属所	金属研究所
金管局	香港金融管理局
铁一局	铁道部第一工程局
铁一院	铁道部第一勘测设计院
铁三局	铁道部第三工程局
铁三院	铁道部第三勘测设计院
铁二院	铁道部第二勘测设计院
铁五局	铁道部第五工程局
铁四局	铁道部第四工程局
铁四院	铁道部第四勘测设计院
长城卡	长城信用卡
长防林	长江防护林
集游法	集会游行法
青少部	青少年部
青工部	青年工作部
青干班	青年干部培训班
青运史	青年运动史
非工统	非洲工会统一组织
领海权	领海主权
飞行队	飞行服务队
首师大	首都师范大学
高公局	高速公路管理局
高研班	高级研讨班
高能所	高能物理研究所
黄委会	黄河水利委员会
万国邮联	万国邮政联盟
上海交大	上海交通大学
世卫组织	世界卫生组织
世界工联	世界工会联合会
中东和谈	中东和平谈判
二十二中	第二十二中学
二次大战	第二次世界大战
交管部门	交通管理部门
人口老化	人口老龄化
人道立场	人道主义立场
住房改革	住房制度改革
全国青联	中华全国青年联合会
公汽公司	公共汽车公司
军转工作	军队转业干部安置工作
农信联社	农村信用联社
农发基金	农村发展基金
刑事技术	刑事科学技术
刑释人员	刑满释放人员
劳动人口	劳动年龄人口
劳动市场	劳动力市场
北京人艺	北京人民艺术剧院
北京体院	北京体育学院
北平艺专	北平艺术专科学校
北方交大	北方交通大学
华东师大	上海华东师范大学
南太地区	南太平洋地区
原子能所	原子能研究所
台湾两岸	台湾海峡两岸
国家民委	国家民族事务委员会
国家经委	国家经济委员会
国家语委	国家语言文字工作委员会
国家防总	国家防汛抗旱总指挥部
国际举联	国际举重联合会
国际体联	国际体操联合会
国际共运	国际共产主义运动
国际冰联	国际冰球联合会
国际垒联	国际垒球联合会
国际手联	国际手球联合会
国际拳联	国际业余拳击联合会
国际柔联	国际柔道联合会
国际棋联	国际象棋联合会
国际箭联	国际射箭联合会
国际网联	国际网球联合会
国际羽联	国际羽毛球联合会
国际赛联	国际赛艇联合会
国际铁联	国际铁人三项联合会
国际马联	国际马术联合会
地空导弹	地对空导弹
大众传媒	大众传播媒介
工业废物	工业固体废物
工发组织	联合国工业发展组织
巴解组织	巴勒斯坦解放组织
巴黎公约	保护工业产权巴黎公约
延安鲁艺	延安鲁迅艺术学院
建安公司	建筑安装公司
微生物所	微生物研究所
投信公司	投资信托公司
机器人所	机器人研究所
杭州艺专	杭州艺术专科学校
欧华联会	欧洲华侨华人社团联合会
民爆器材	民用爆破器材
汽运公司	汽车运输公司
环发大会	联合国环境与发展大会
电子科大	电子科技大学
祖国战线	祖国统一民主主义战线
空地导弹	空对地导弹
经货联盟	欧洲经济货币联盟
联柬机构	联合国驻柬埔寨临时权力机构
船舶证书	船舶检验证书
行人专区	行人专用区
西北师大	西北师范大学
西南交大	西南交通大学
西安体院	西安体育学院
车险公司	汽车保险公司
铁十五局	铁道部第十五工程局
铁十六局	铁道部第十六工程局
非公经济	非公有经济
香港工联	香港工会联合会
马列主义	马克思列宁主义
人口普查办	人口普查领导小组办公室
农发基金会	国际农业发展基金会
国家体改委	国家经济体制改革委员会
国家商检局	国家进出口商品检验局
国家工商局	国家工商行政管理局
国家计生委	国家计划生育委员会
国际计生联	国际计划生育联合会
少儿基金会	少年儿童基金会
拉美经委会	拉丁美洲和加勒比经济委员会
教科文卫委	教育科学文化卫生委员会
文体广电局	文化体育广播电视局
环保科研所	环境保护科学研究所
中央工艺美院	中央工艺美术学院
国际民航组织	国际民用航空组织
海湾合作委员会	海湾阿拉伯国家合作委员会
