正选	正式选举
心梗	心肌梗塞
一炼钢	第一炼钢厂
文管办	文化市场管理办公室
北京人艺	北京人民艺术剧院
中评委	国民党中央评议委员
违宪	违反宪法
师专	师范专科学校
治污	治理污染
视协	电视艺术家协会
速算	快速计算
广府	广州政府
吉化	吉林化学工业公司
庭期	开庭日期
财金	财政金融
派红	派发红利
掌理	掌握管理
普获	普遍获得
货检	货物检验
胸透	胸部透视
招选	招聘选拔
辽沈	辽宁沈阳
企务	企业事务
中东和谈	中东和平谈判
海缆	海底电缆
舞星	舞蹈明星
劳保	劳动保护
二汽	第二汽车制造厂
聚赌	聚众赌博
家教	家庭教育
巴黎公约	保护工业产权巴黎公约
人劳局	人事劳动局
定存	定期存款
统测	统一测试
商展	商品展览
史展	历史展览
干管	干线管道
函大	函授大学
煤质	煤炭质量
统管	统一管理
普种	普遍接种
图博	图书馆和博物馆
侦技	侦察技术
防台	防御台风
影圈	电影圈
农险	农业保险
联共	联合共产党
电业	电力工业
哈军工	哈尔滨军事工程学院
浙大	浙江大学
长城卡	长城信用卡
遗传所	遗传研究所
叙军	叙利亚军队
四城会	第四届城市运动会
订颁	制订并颁布
国税局	国家税务局
油国	石油出口国
高师	高等师范
化废	化学废物
首拍	首次拍卖
肌注	肌肉注射
评优	评选优秀
专署	专员公署
工效	工作效率
烈属	烈士家属
金贸	黄金贸易
反殖	反对殖民主义
津城	天津城
显效	显著效果
罗政	罗马尼亚政府
法工委	法制工作委员会
港澳办	港澳事务办公室
强震	强烈地震
痕检	痕迹检验
和谈	和平谈判
农信联社	农村信用联社
聋校	聋哑学校
探空	探测太空
上京	上海京剧院
工时	工作时间
引资	引进资金
清大	台湾清华大学
煤炭部	煤炭工业部
深交所	深圳证券交易所
储种	储蓄种类
文工会	文化工作委员会
男乒	男子乒乓球
众院	众议院
直资	直接资助
运距	运输距离
七机部	第七机械工业部
动物所	动物研究所
城调队	城市调查队
参演	参加演出
飞行队	飞行服务队
中财委	中央财政经济委员会
温控	温度控制
