正选	正式选举
桥联	桥牌联合会
文摘	文章摘要
妇代会	妇女代表大会
摄协	摄影家协会
县府	县人民政府
女团	女子团体
铁三院	铁道部第三勘测设计院
天影厂	天津电影制片厂
汽贸	汽车贸易公司
云大	云南大学
票选	投票选举
私企	私营企业
青干班	青年干部培训班
前委会	前敌委员会
瓶啤	瓶装啤酒
刑警局	刑事警察局
增销	增加销售
智能所	智能研究所
运贸	运输贸易
国际计生联	国际计划生育联合会
维港	维多利亚港
标售	标价出售
莫大	莫斯科大学
哈医大	哈尔滨医科大学
安保员	安全保卫人员
曲作家	词曲作家
工展会	工业展览会
苦研	刻苦钻研
餐营	餐车经营
餐旅	餐饮旅游
共治	共同治理
治则	治疗原则
居委会	居民委员会
语工	语言文字工作
核研所	核能研究所
台湾两岸	台湾海峡两岸
国标	国家标准
消总	消防总队
彩报	彩色报纸
突审	突击审讯
税制	税收制度
控区	控制区
家计会	香港家庭计划指导会
海校	海军学校
特需	特殊需要
农科	农业科学
水电大	水利电力大学
营收	营业收入
官校	军官学校
大龄	大年龄
商标权	商标专用权
国际网联	国际网球联合会
外销	对外销售
港人	香港人
电建	电力建设
体健	身体健康
美航	泛美航空公司
强迁	强制迁移
残部	残余部队
舞师	舞蹈教师
煤管局	煤炭管理局
电修	电机修理
参游	参加旅游
武大	武汉大学
自贸区	自由贸易区
路警	铁路警察
城管	城市管理
女台	女子跳台跳水
早教	早期教育
欧市	欧洲市场
质标	质量标准
招教	招聘教师
从商	从事商业
节市	节日市场
社党	社会民主党
天民党	天主教民主党
金价	黄金价格
纠风	纠正行业不正之风
校运会	学校运动会
广电部	广播电影电视部
岗培	岗位培训
拒批	拒绝批准
建安公司	建筑安装公司
计陷	设计陷害
自协	自行车运动协会
赤几	赤道几内亚
首演	首场演出
司助	司法救助
杞忧	杞人之忧
残奥运	残疾人奥林匹克运动
影业	电影业
特教班	特殊教育班
吉大	吉林大学
书赛	书法比赛
鲁艺	鲁迅艺术文学院
扩灌	扩大灌溉面积
婉拒	婉言拒绝
商检	商品检验
女校	女子学校
判监	判处监禁
校委会	校务委员会
民促	民主促进会
财年	财政年度
土军	土耳其军队
统检	统一检查
国际冰联	国际冰球联合会
握别	握手告别
昆腔	昆山腔
汽运公司	汽车运输公司
杜诗	杜甫的诗
体协	体育协会
药物所	药物研究所
西北师大	西北师范大学
经联社	经济联合社
台企	台湾企业
农技	农业技术
去今	去年今年
商台	商业电台
热工	热能工程
森工	森林工业
社教	社会教育
邮协	集邮协会
下权	下放权力
调解会	人民调解委员会
创议	创新建议
首图	首都图书馆
扩校	扩大学校
公关	公共关系
国家民委	国家民族事务委员会
话机	电话机
陆航	陆军航空兵
金市	黄金市场
世界工联	世界工会联合会
师院	师范学院
全国青联	中华全国青年联合会
教德	教师职业道德
三产	第三产业
航母	航空母舰
建协	建筑协会
人道立场	人道主义立场
奥体	奥林匹克体育
长二丙	长征二号丙
俄航	俄罗斯航空公司
农话	农村电话
家服	家庭服务
联委会	联合委员会
森警	森林警察
投建	投资建设
中院	中级人民法院
港片	香港影片
国列	国际旅客列车
上戏	上海戏剧学院
二秘	二等秘书
北影	北京电影制片厂
外军	外国军队
纯善	纯朴善良
经货联盟	欧洲经济货币联盟
日航	日本航空公司
税检	税收检查
杭大	杭州大学
参访	参观访问
行管	行政管理
群工	群众工作
义消	义务消防队
护鸟	保护鸟类
日用品	日常生活用品
美校	美术学校
落政	落实知识分子政策
空港	航空港
股值	股票价值
尤杯	尤伯杯
植保	植物保护
共管	共同管理
外秘	外交秘书
垒协	垒球协会
林科所	林业科学研究所
管养	管理和养护
外院	外国语学院
空战	空中作战
软件所	软件研究所
二医大	上海第二医科大学
人普	人口普查
个税	个人所得税
职校	职业学校
坚拒	坚持拒绝
公投	公民投票
牡丹卡	牡丹信用卡
严管	严格管理
医技	医疗技术
息率	利息率
军贸	军火贸易
邮市	邮票市场
林研所	林业研究所
职改	职称改革
棒协	棒球协会
舞协	舞蹈家协会
监销	监督销毁
粮经	粮食经济
上音	上海音乐学院
亚冬会	亚洲冬季运动会
艺展	艺术展览
减资	减少资本
减亏	减少亏损
外联部	对外联络部
墨通社	墨西哥通讯社
代总长	代理总参谋长
医助	医生助理
国补	国家补贴
高能所	高能物理研究所
南艺	南京艺术学院
金杯公司	金杯通用汽车有限公司
社青	社会青年
高院	高级人民法院
军婚	军人婚姻
澳督府	澳门总督府
政改	政治体制改革
台生	台湾学生
非统	非洲统一组织
粮改	粮食购销体制改革
济铁	济南铁路局
女监	女子监狱
体彩	体育彩票
沙俄	沙皇俄国
国际赛联	国际赛艇联合会
裂伤	撕裂伤
工纠	工人纠察
管委	管理委员会
涉老	涉及老年人
申装	申请安装
显外	显微外科
青妇	青年妇女
农投	农业投资
塑编	塑料编织
西安体院	西安体育学院
例验	例行检验
打防	打击和防范
停捕	停止捕捞
绥署	绥靖公署
计量局	标准计量局
粪管	粪便管理
韩商	韩国商人
国控	国家控制
花市	花卉市场
速滑	速度滑冰
和约	和平条约
抬价	抬高价格
卫片	卫星照片
企银	企业银行
盟体	联盟体
商贷	商业贷款
跌势	下跌趋势
医委会	医学委员会
东航	东方航空公司
一战后	第一次世界大战后
驾机	驾驶飞机
应化	应用化学
规土局	规划土地局
参会	参加会议
血防	血吸虫病防治
二炼钢	第二炼钢厂
新协	新闻工作者协会
市队	市代表队
销文	销毁文件
农合工	农民合同制工人
制程	制造过程
领馆	领事馆
评模	评选模范
局地	局部地区
一冶	第一冶炼厂
治整	治理和整顿
罪因	犯罪原因
村委	村民委员会
学运	学生运动
陶研	陶行知研究
海科	海洋科学
港府	香港政府
市商委	市商业委员会
人医	人民医院
建陶	建筑陶瓷
运管	运输管理
音协	音乐家协会
电大	广播电视大学
上铁	上海铁路局
困斗	困兽犹斗
地科院	地质科学研究院
加航	加拿大航空公司
统算	统一核算
泳协	游泳协会
党工	党务工作
残协	残疾人体育协会
西工大	西北工业大学
万国邮联	万国邮政联盟
禁产	禁止生产
民爆器材	民用爆破器材
燕大	燕京大学
欧华联会	欧洲华侨华人社团联合会
岸炮	海岸炮
教办	教育办公室
安医大	安徽医科大学
师大	师范大学
日银	日本银行
受托	接受委托
浙昆	浙江昆剧团
密报	秘密报告
楼按	楼宇按揭
期市	期货市场
收审	收容审查
铁十六局	铁道部第十六工程局
影赛	摄影比赛
整纪	整顿纪律
外空	外层空间
城雕	城市雕塑
企协	企业家协会
职评	职称评定
社群	社会群体
阿盟	阿拉伯国家联盟
禁登	禁止刊登
墨市	墨西哥市
红属	红军家属
军转干	军队转业干部
现况	现实情况
证交所	证券交易所
妇女会	妇女协会
台市	台湾股市
临管	临时管理
水运	水路运输
亚俱杯	亚洲俱乐部杯
虫草	冬虫夏草
艺文	艺术文化
袭警	袭击警察
港姐	香港小姐
行止	行为举止
劳卫	劳动卫生
十五中	第十五中学
销势	销售形势
犯属	犯人家属
清档	清理档案
育乐	体育娱乐
丝路	丝绸之路
铁二院	铁道部第二勘测设计院
电院	电子工程学院
农发基金会	国际农业发展基金会
助审员	助理审判员
上远公司	上海远洋运输公司
交咨会	交通咨询委员会
商服	商业服务业
企办	企业办公室
经建	经济建设
直客	直通旅客列车
航院	航空学院
非公经济	非公有经济
地埋	地下埋藏
特委	特别委员会
劳技	劳动和技术
生物所	生物研究所
南大	南京大学
泌乳	分泌乳汁
煤化所	煤炭化学研究所
油建	油田建设
警署	警察署
尼大	尼赫鲁大学
标煤	标准煤
市交委	市交通委员会
技校	技工学校
中戏	中央戏剧学院
省医	省立医院
原子能所	原子能研究所
一机厂	第一机械厂
炮团	炮兵团
亚姐	亚洲小姐
亚洲手联	亚洲手球联合会
国统区	国民党统治区
月入	每月收入
演词	演说词
公用局	公用事业局
大体协	大学生体育协会
美工	美术工作
教统会	香港教育统筹委员会
调温	调节温度
农广	农业广播
古史	古代历史
厂校	工厂和学校
拳赛	拳击比赛
主研人	主要研究人
针麻	针刺麻醉
禁映	禁止放映
财经委	财政经济委员会
基建	基本建设
刑释	刑满释放
汉译	汉语翻译
文娱	文化娱乐
菲央行	菲律宾中央银行
侦处	侦查处理
增速	增长速度
平摊	平均分摊
延安鲁艺	延安鲁迅艺术学院
联贷	联合贷款
关检	海关检查
农发基金	农村发展基金
北师院	北京师范学院
民宗委	民族宗教委员会
干教	干部教育
脑体	脑力劳动和体力劳动
外烟	外国香烟
川航	四川航空公司
建管	建筑管理
基材	基本材料
商经	商业经济
国家商检局	国家进出口商品检验局
证管办	证券管理办公室
呼市	呼和浩特市
俄商	俄罗斯商人
彩影	彩色摄影
临建	临时建筑
批价	批发价格
文改	文字改革
助编	助理编辑
专责	专门负责
个体户	个体工商户
饮服	饮食服务
劳改	劳动改造
电教	电化教学
国际马联	国际马术联合会
安保	安全保卫
陕公	陕北公学
步炮	步兵和炮兵
外贸部	对外贸易部
酒钢	酒泉钢铁公司
参训	参加训练
过境税	过境关税
统分	统一分配
瓦检员	瓦斯检测员
学工部	学生工作部
武联	武术联合会
高护	高级护士
外贸	对外贸易
日贷	日本贷款
观展	参观展览
军基	军事基地
中总	香港中华总商会
国家计生委	国家计划生育委员会
长服	长期服用
亚青	亚洲青年
佳市	佳木斯市
举发	检举揭发
管护	管理和保护
世卫组织	世界卫生组织
职大	职工大学
高工	高级工程师
玻纤	玻璃纤维
保共	保加利亚共产党
完封	完全封锁
扩红	扩大红军
平叛	平息叛乱
美编	美术编辑
直机关	直属机关
欧航局	欧洲航天局
刑拘	刑事拘留
男网	男子网球
搜证	搜集证据
兑汇	兑换外汇
医协	医学协会
支现	支取现金
联储局	联邦储备局
黄委会	黄河水利委员会
车况	车辆状况
心搏	心脏搏动
控亏	控制亏损
实效	实际效果
大众传媒	大众传播媒介
赛题	竞赛题目
信资	信托投资
特批	特别批准
华师大	华东师范大学
旅专	旅游专科学校
律协	律师协会
林机厂	林业机械厂
幼托	幼儿入托
经院	经济学院
工疗	工人疗养院
全麻	全身麻醉
收教	收容教育
民初	民国初年
影技	摄影技术
联招	联合招生
教科所	教育科学研究所
作训	作战训练
访查	访问调查
学联	学生联合会
切宫	切除子宫
短训班	短期培训班
精研	精心研究
债信	债务信用
花博会	花卉博览会
军报	解放军报
篮总	香港篮球总会
组设	组织设立
高检	最高人民检察院
业委会	业主委员会
津百	天津百货
委办	委员会办公室
海俱	海员俱乐部
政训	政治训练
人美	人民美术出版社
联航	联合航空公司
友协	友好协会
要项	重要项目
街办	街道办事处
武星	武打明星
船舶证书	船舶检验证书
彩超	彩色B超
工属	职工家属
全代会	全国代表大会
北体	北京体育大学
控会	控制会议
心梗	心肌梗塞
一炼钢	第一炼钢厂
文管办	文化市场管理办公室
北京人艺	北京人民艺术剧院
中评委	国民党中央评议委员
街委	街道委员会
院党办	院党委办公室
违宪	违反宪法
建机厂	建筑机械厂
师专	师范专科学校
治污	治理污染
视协	电视艺术家协会
速算	快速计算
广府	广州政府
吉化	吉林化学工业公司
助查	协助调查
庭期	开庭日期
财金	财政金融
派红	派发红利
日俘	日本战俘
掌理	掌握管理
普获	普遍获得
货检	货物检验
胸透	胸部透视
招选	招聘选拔
辽沈	辽宁沈阳
企务	企业事务
中东和谈	中东和平谈判
海缆	海底电缆
舞星	舞蹈明星
劳保	劳动保护
二汽	第二汽车制造厂
聚赌	聚众赌博
家教	家庭教育
巴黎公约	保护工业产权巴黎公约
人劳局	人事劳动局
定存	定期存款
研审	研究审查
统测	统一测试
粮援	粮食援助
赛地	比赛地点
商展	商品展览
史展	历史展览
干管	干线管道
地导弹	地对地导弹
外次	外交部次官
税干	税务干部
方尺	平方英尺
函大	函授大学
煤质	煤炭质量
统管	统一管理
女柔	女子柔道
普种	普遍接种
图博	图书馆和博物馆
侦技	侦察技术
防台	防御台风
审执	审理执行
影圈	电影圈
农险	农业保险
联共	联合共产党
电业	电力工业
哈军工	哈尔滨军事工程学院
浙大	浙江大学
上师大	上海师范大学
长城卡	长城信用卡
遗传所	遗传研究所
叙军	叙利亚军队
幼专	幼儿师范专科学校
商流	商品流通
四城会	第四届城市运动会
公校	公办学校
订颁	制订并颁布
国税局	国家税务局
油国	石油出口国
食市	食品市场
高师	高等师范
哥大	哥伦比亚大学
化废	化学废物
首拍	首次拍卖
肌注	肌肉注射
城工	城市工作
评优	评选优秀
少体	少年体育
军停会	朝鲜军事停战委员会
专署	专员公署
工效	工作效率
烈属	烈士家属
金贸	黄金贸易
反殖	反对殖民主义
津城	天津城
显效	显著效果
生资	生产资料
罗政	罗马尼亚政府
工调	工资调整
私小	私立小学
法工委	法制工作委员会
港澳办	港澳事务办公室
强震	强烈地震
痕检	痕迹检验
和谈	和平谈判
农信联社	农村信用联社
聋校	聋哑学校
探空	探测太空
菊展	菊花展览
实操	实际操作
上京	上海京剧院
工时	工作时间
引资	引进资金
清大	台湾清华大学
访演	访问演出
煤炭部	煤炭工业部
辽大	辽宁大学
实控线	实际控制线
中大	中山大学
深交所	深圳证券交易所
储种	储蓄种类
文工会	文化工作委员会
国银	国际清算银行
男乒	男子乒乓球
众院	众议院
直资	直接资助
运距	运输距离
七机部	第七机械工业部
动物所	动物研究所
摩联	摩托车联合会
基训	基本训练
城调队	城市调查队
参演	参加演出
飞行队	飞行服务队
中财委	中央财政经济委员会
温控	温度控制
