筹资	筹集资金
老体协	老年人体育协会
粮菜	粮食和蔬菜
联柬机构	联合国驻柬埔寨临时权力机构
铁总	铁路总工会
普初	普通初中
川府	四川政府
再障	再生障碍性贫血
无核国	无核武器国家
乡邮	乡村邮递
证管办	证券管理办公室
盲协	盲人协会
海模	航海模型
日俘	日本战俘
戏文系	戏剧文学系
医助	医生助理
残协	残疾人体育协会
软交会	软件交易会
棉办	棉花办公室
农话	农村电话
崇美	推崇美国
招教	招聘教师
史展	历史展览
临管会	临时管理委员会
原子能所	原子能研究所
八办	八路军办事处
退管会	退休职工管理委员会
军停会	朝鲜军事停战委员会
拉美经委会	拉丁美洲和加勒比经济委员会
玉烟	云南玉溪卷烟厂
农调队	农村社会经济调查队
瓶啤	瓶装啤酒
建机厂	建筑机械厂
青企协	青年企业家协会
禁登	禁止刊登
自动线	自动生产线
红中社	红色中华通讯社
国际赛联	国际赛艇联合会
一炼钢	第一炼钢厂
天民党	天主教民主党
尤杯赛	尤伯杯赛
扩灌	扩大灌溉面积
长防林	长江防护林
农函大	农业函授大学
应化所	应用化学研究所
药化	药物化学
普种	普遍接种
七运会	第七届全国运动会
街委	街道委员会
环发大会	联合国环境与发展大会
福铁	福州铁路
金杯公司	金杯通用汽车有限公司
群管	群众管理
林机厂	林业机械厂
电修	电机修理
监销	监督销毁
社盟	社会联盟
运贸	运输贸易
电子局	电子工业局
高教委	高等教育委员会
汤杯赛	汤姆斯杯赛
彩报	彩色报纸
海监局	海上安全监督局
林研所	林业研究所
棉检	棉花检验
墨通社	墨西哥通讯社
马盟	阿拉伯马格里布联盟
国际垒联	国际垒球联合会
亚举联	亚洲举重联合会
亚田联	亚洲田径联合会
摩协	摩托车协会
世俱赛	世界俱乐部赛
钢院	钢铁学院
一棉厂	第一棉纺织厂
棉站	棉花收购站
跳雪	跳台滑雪
上远公司	上海远洋运输公司
环保科研所	环境保护科学研究所
一机厂	第一机械厂
亚武联	亚洲武术联合会
世羽赛	世界羽毛球锦标赛
约通社	约旦通讯社
钓协	钓鱼协会
蒙通社	蒙古通讯社
矿机厂	矿山机器厂
景瓷	景德镇瓷器
轻轿	轻型轿车
伊阵	伊斯兰拯救阵线
长发公司	长江经济联合发展股份有限公司
国际世协	国际世界语协会
铁十五局	铁道部第十五工程局
天影厂	天津电影制片厂
研审	研究审查
